sample	video_id	clip_id	source_excel_row	video_relpath	source_label	source_annotation	transcript	source_qc_status	container_duration_s	audio_duration_s	video_frames	openface_valid_frames	source_words	timed_words	untimed_words	text_valid_words	audio_valid_words	vision_valid_words	all_modalities_valid_words	audio_min_coverage	vision_min_coverage	vision_partial_words	text_shape	audio_shape	vision_shape	alignment_review_flags	merge_review_flags	needs_review	review_priority	human_review_status	source_video_sha256	staged_video_sha256	audio_sha256	audio_feature_sha256	text_feature_sha256	merged_feature_sha256	stage_relpath	merged_relpath
sample_0001	-3g5yACwYnA	13	2	-3g5yACwYnA/13.mp4	0.6666666865348816	Positive	They've been able to find solutions or at least bring some answers to the table.	transcript_review_needed	5.513997	5.399000	163	163	15	15	0	15	15	15	15	1.000000	1.000000	0	15x768	15x25	15x49	asr_disagreement;transcript_review_needed		true	P1	pending	aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f	aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f	64cb6003737d6b272fa34d52f7faf6b050459dcf84d92a4fba8fa9f277bab2c5	b65e696419ae87c11b61a08a6143fc320efc1585973327712e26c9143c78145f	2f36481bfbfe57c74f1cca554af6f0e19b878e10bf5060098598f2b30ca74532	a23acf62489b6e6c974373c679bf8760ead3788ffad541c0df51ba473aff67bc	mosei-stage-v1.0/sample_0001.mp4	mosei-multimodal-aligned-v1.0/sample_0001.npz
sample_0002	-3g5yACwYnA	3	3	-3g5yACwYnA/3.mp4	0.0	Neutral	We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.	not_reviewed	14.388997	14.327875	431	431	29	29	0	29	29	29	29	1.000000	1.000000	0	29x768	29x25	29x49	asr_disagreement;low_ctc_probability		true	P2	pending	eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d	eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d	af09929a0caf3d34eeccfd36ec9033c89d23d2bb7f68dea5b8a77c16cb324e25	8abb51d4e20dad7babb7cfc8b73f22559746f9cb69637adecbf445669eb4334a	a381e1c7d1fb5401714fbb723f6f4c720226853d5e9c12ba7249ccf6808fb0fc	2dc002891b669afd29aeed7908b73a2b1e94ffb381fba74d48c581fa57e0847f	mosei-stage-v1.0/sample_0002.mp4	mosei-multimodal-aligned-v1.0/sample_0002.npz
sample_0003	-3g5yACwYnA	2	4	-3g5yACwYnA/2.mp4	0.0	Neutral	Key Polymer brings a technical aspect to our operation that we don't have internally.	not_reviewed	9.394010	9.231000	278	278	14	14	0	14	14	14	14	1.000000	1.000000	0	14x768	14x25	14x49	asr_disagreement		true	P2	pending	0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7	0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7	3445d36a91df31000f77f4c95868688478359d465435794a9d3b145baf07550a	0ef6d042095e739f84f45c25a2c2e2ae82fc2132439c67967c45f8cd8ee214fd	6cf2e244c294d7e4b77c81735556f52428b7e4389a448e0c47cd8470b8371a51	3ceafa6b74015a64ccc9bc324f812487550833739c71eba3bd8686eea2f1f463	mosei-stage-v1.0/sample_0003.mp4	mosei-multimodal-aligned-v1.0/sample_0003.npz
sample_0004	-3g5yACwYnA	9	5	-3g5yACwYnA/9.mp4	0.6666666865348816	Positive	We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.	not_reviewed	8.816992	8.696000	263	263	21	21	0	21	21	21	21	1.000000	1.000000	0	21x768	21x25	21x49	asr_disagreement		true	P2	pending	b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016	b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016	082d9f16d07c217a1673bac79d871f82d9cbb384af9516fadcf7d365773234b7	43da55c918acb49f7697cd0f5004b48f2c10e5210f58dcef4ee590dc926470b6	d5054998a594e22530de451584d612d38f114c67001c90e1447c855b6a95dad0	78de22598cca9ed9781e582014bb046f57e053a7a77698d5e232a310403e79c2	mosei-stage-v1.0/sample_0004.mp4	mosei-multimodal-aligned-v1.0/sample_0004.npz
sample_0005	-3nNcZdcdvU	5	6	-3nNcZdcdvU/5.mp4	0.0	Neutral	Noncompliance can result in legal liability to you and to the school district in which you are employed.	not_reviewed	7.867969	7.788000	236	236	18	18	0	18	18	18	18	1.000000	1.000000	0	18x768	18x25	18x49			false		not_requested	7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728	7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728	d46e22234986a7ed18a6d48505b1dd3f58b1d57552d620f6541e63640d620acb	ccc8effd455b2d000a6b371d0e801d9584ae5beefe3b8b00e2787a82d1e15845	4388215ae2a7ba1be5272afc4be92ba96e61b340636b176725d9191f2a9d00e0	7a79cc5ce31a1f9778b42178c7db57ec32c3e6f411965bd4fd2dc77395e5affc	mosei-stage-v1.0/sample_0005.mp4	mosei-multimodal-aligned-v1.0/sample_0005.npz
sample_0006	-HwX2H8Z4hY	2	7	-HwX2H8Z4hY/2.mp4	0.0	Neutral	"” [President Ronald Reagan:] ""Look at the record"	not_reviewed	3.982031	3.915812	119	34	8	4	4	8	4	3	3	1.000000	0.000000	2	8x768	8x25	8x49	speaker_annotation_review	vision_missing_words;vision_partial_coverage	true	P1	pending	920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358	920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358	309a00b4e87d9364b466a9a9c56bcb1347dfb6cfe0aff3747f6cfd3738dbab2c	abc2fa3c7167d79af7167cb28239b789800569e5892312850c9950a3b63ace1d	37dfc66b6045999aa8b9c108215aaf5524fea01e1e6e43f76766213aca585012	74e7b086823bcf0475ef04ed6b7a6747d27161eca48beb152c02d2fce748cc43	mosei-stage-v1.0/sample_0006.mp4	mosei-multimodal-aligned-v1.0/sample_0006.npz
sample_0007	-HwX2H8Z4hY	5	8	-HwX2H8Z4hY/5.mp4	-1.0	Negative	""" President Ronald Reagan blamed the professional bureaucracy of education"	not_reviewed	5.652995	5.544000	168	60	10	9	1	10	9	3	3	1.000000	0.000000	2	10x768	10x25	10x49		vision_missing_words;vision_partial_coverage	true	P2	pending	8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d	8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d	e4afd42d59ea92cb606c6c738133570d958374df6cda7bcfa3914def9f6c0b33	cdf9e47902d252cd97c1c9004197c20ede53ccf8947c4e6a3d338d201fcc578f	2a0b5307368aa6dc14f229784aa8d70fd6a2c130d894d1cf76646fe048425863	e8254456bc42d1df16acffa63ab29fd44f2cd29a12fc6cf5bc13d2fa08a54f6c	mosei-stage-v1.0/sample_0007.mp4	mosei-multimodal-aligned-v1.0/sample_0007.npz
sample_0008	-HwX2H8Z4hY	6	9	-HwX2H8Z4hY/6.mp4	0.0	Neutral	And in part, Al Shanker did too	not_reviewed	3.358008	3.256000	99	61	7	7	0	7	7	5	5	1.000000	0.000000	0	7x768	7x25	7x49		vision_missing_words	true	P2	pending	696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46	696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46	736e50af5842192533241abef0d4608ad5fcab3937303b03ce69eff9d507ca8c	bd8175a161316cb416e818e5f119a2aba0bea8b25f1035bbbc0addb9d2c5ebe6	36005e3df1e38db169272b97e0aeddba8b8c49bb9828d66f823c4c9ca742aa0b	ecac66713bb874f6b94dd5c5200612f4255928db70db63c58d018403a8bcdbab	mosei-stage-v1.0/sample_0008.mp4	mosei-multimodal-aligned-v1.0/sample_0008.npz
sample_0009	-HwX2H8Z4hY	9	10	-HwX2H8Z4hY/9.mp4	-0.3333333432674408	Negative	It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing	not_reviewed	7.733984	7.636312	232	221	22	22	0	22	22	22	22	1.000000	0.500000	4	22x768	22x25	22x49	asr_disagreement;long_word_span;low_ctc_probability	vision_partial_coverage	true	P2	pending	90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702	90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702	d6e7190c3c13c73ac23dbd63bbf799ad3fd5f28d4004b5b5c805d44ff230944a	22f787df465ec08f14f789f758167beb867825b4237d0228e286a7830d9bdb76	1715630aafe17598fc390d2002b2adbd46e7d7bac0217b978e8c69b92d16473f	919d51d1cc49f213f72553c312749cefb38617f81bebb8939f0601c5c53f7f3b	mosei-stage-v1.0/sample_0009.mp4	mosei-multimodal-aligned-v1.0/sample_0009.npz
sample_0010	-NFrJFQijFE	1	11	-NFrJFQijFE/1.mp4	0.3333333432674408	Positive	Structural mounts inside have to be properly stress analyzed so we make sure all that happens	not_reviewed	5.746000	5.658875	142	0	16	16	0	16	16	0	0	1.000000	0.000000	0	16x768	16x25	16x49	asr_disagreement;low_ctc_probability	vision_missing_words;no_valid_visual_frames	true	P1	pending	d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f	d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f	266d17fc01f65fe186a7b56209c44c24951b64e925551423fc89664608c6f0ac	3d4b999cfd3d8e37ee287db46b7e707fd35d45bd8e750a8141bba4d63332f145	8bef20c7f34cda017ce3f706bba46611b1e126bba870bcb8b1e97b121f96ce1a	f295cea678f2df4daaf5edef4af6a577419ddce92ded2ce19cbf27c65e42d371	mosei-stage-v1.0/sample_0010.mp4	mosei-multimodal-aligned-v1.0/sample_0010.npz
