file_id,sample_id,polarity,intensity,predicted_class_probability,primary_modality,modality_effects_json,top_evidence_json,raw_text,time_mapping_status
01,01,Neutral,0.17888595163822174,0.5610899329185486,vision,"{""text"": {""class_probability_delta"": -0.006049931049346924, ""intensity_delta"": 0.15589789487421513, ""candidate_gate_time"": 0.47716498374938965, ""observed_positions"": 22, ""relative_influence"": 0.04228760789483113}, ""audio"": {""class_probability_delta"": -0.05165839195251465, ""intensity_delta"": -0.015164226293563843, ""candidate_gate_time"": 0.2634966969490051, ""observed_positions"": 22, ""relative_influence"": 0.36108011902073694}, ""vision"": {""class_probability_delta"": -0.08535796403884888, ""intensity_delta"": -0.00965726375579834, ""candidate_gate_time"": 0.25933837890625, ""observed_positions"": 22, ""relative_influence"": 0.5966322730844319}}","[{""modality"": ""text"", ""position_0based"": 15, ""class_probability_delta"": -0.01558619737625122, ""intensity_delta"": 0.02381722629070282, ""candidate_gate_time"": 0.02699914574623108, ""text_char_start"": 92, ""text_char_end"": 95, ""text_fragment"": ""new"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 18, ""class_probability_delta"": -0.011698782444000244, ""intensity_delta"": 0.015578195452690125, ""candidate_gate_time"": 0.02894444949924946, ""text_char_start"": 110, ""text_char_end"": 112, ""text_fragment"": ""to"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 14, ""class_probability_delta"": -0.01089388132095337, ""intensity_delta"": 0.01745261251926422, ""candidate_gate_time"": 0.019739726558327675, ""text_char_start"": 88, ""text_char_end"": 91, ""text_fragment"": ""the"", ""candidate_top1"": false}, {""modality"": ""audio"", ""position_0based"": 3, ""class_probability_delta"": -0.01059025526046753, ""intensity_delta"": 0.010900765657424927, ""candidate_gate_time"": 0.018274137750267982, ""text_char_start"": 16, ""text_char_end"": 20, ""text_fragment"": ""wear"", ""candidate_top1"": false}, {""modality"": ""audio"", ""position_0based"": 4, ""class_probability_delta"": -0.010428130626678467, ""intensity_delta"": 0.008209675550460815, ""candidate_gate_time"": 0.01544529851526022, ""text_char_start"": 21, ""text_char_end"": 31, ""text_fragment"": ""components"", ""candidate_top1"": false}]",Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,aligned_position_only_seconds_unverified
02,02,Positive,0.159851536154747,0.43814748525619507,text,"{""text"": {""class_probability_delta"": 0.2920857220888138, ""intensity_delta"": 0.4076114296913147, ""candidate_gate_time"": 0.5640503764152527, ""observed_positions"": 19, ""relative_influence"": 0.626469382677342}, ""audio"": {""class_probability_delta"": -0.07278358936309814, ""intensity_delta"": -0.07497531175613403, ""candidate_gate_time"": 0.24077238142490387, ""observed_positions"": 19, ""relative_influence"": 0.15610722075444955}, ""vision"": {""class_probability_delta"": -0.10137170553207397, ""intensity_delta"": -0.14583979547023773, ""candidate_gate_time"": 0.19517719745635986, ""observed_positions"": 19, ""relative_influence"": 0.21742339656820844}}","[{""modality"": ""text"", ""position_0based"": 18, ""class_probability_delta"": -0.10022509098052979, ""intensity_delta"": -0.1665768176317215, ""candidate_gate_time"": 0.08049298077821732, ""text_char_start"": 64, ""text_char_end"": 70, ""text_fragment"": ""misery"", ""candidate_top1"": true}, {""modality"": ""text"", ""position_0based"": 3, ""class_probability_delta"": 0.06476441025733948, ""intensity_delta"": 0.09372521936893463, ""candidate_gate_time"": 0.05820104479789734, ""text_char_start"": 8, ""text_char_end"": 10, ""text_fragment"": ""to"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 10, ""class_probability_delta"": 0.05483090877532959, ""intensity_delta"": 0.07693363726139069, ""candidate_gate_time"": 0.03178534284234047, ""text_char_start"": 32, ""text_char_end"": 41, ""text_fragment"": ""happiness"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 9, ""class_probability_delta"": 0.05059728026390076, ""intensity_delta"": 0.06552297621965408, ""candidate_gate_time"": 0.030183307826519012, ""text_char_start"": 30, ""text_char_end"": 31, ""text_fragment"": ""s"", ""candidate_top1"": false}, {""modality"": ""audio"", ""position_0based"": 18, ""class_probability_delta"": 0.04149290919303894, ""intensity_delta"": 0.06776363402605057, ""candidate_gate_time"": 0.012594942934811115, ""text_char_start"": 64, ""text_char_end"": 70, ""text_fragment"": ""misery"", ""candidate_top1"": false}]",We want to live by each other’s happiness - not by each other’s misery.,aligned_position_only_seconds_unverified
03,03,Negative,-0.23257343471050262,0.4539969563484192,text,"{""text"": {""class_probability_delta"": 0.2834233194589615, ""intensity_delta"": -0.42125968635082245, ""candidate_gate_time"": 0.5606942176818848, ""observed_positions"": 33, ""relative_influence"": 0.6699161927498073}, ""audio"": {""class_probability_delta"": -0.02207961678504944, ""intensity_delta"": 0.06925354897975922, ""candidate_gate_time"": 0.20555013418197632, ""observed_positions"": 33, ""relative_influence"": 0.052188693725876735}, ""vision"": {""class_probability_delta"": 0.11756986379623413, ""intensity_delta"": -0.056152135133743286, ""candidate_gate_time"": 0.23375563323497772, ""observed_positions"": 33, ""relative_influence"": 0.27789511352431595}}","[{""modality"": ""text"", ""position_0based"": 20, ""class_probability_delta"": 0.05379191040992737, ""intensity_delta"": -0.06470578908920288, ""candidate_gate_time"": 0.04391436651349068, ""text_char_start"": 72, ""text_char_end"": 73, ""text_fragment"": ""t"", ""candidate_top1"": true}, {""modality"": ""text"", ""position_0based"": 28, ""class_probability_delta"": 0.022623956203460693, ""intensity_delta"": -0.0314207524061203, ""candidate_gate_time"": 0.023160910233855247, ""text_char_start"": 112, ""text_char_end"": 116, ""text_fragment"": ""take"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 3, ""class_probability_delta"": 0.021659880876541138, ""intensity_delta"": -0.03457276523113251, ""candidate_gate_time"": 0.02619766630232334, ""text_char_start"": 6, ""text_char_end"": 7, ""text_fragment"": ""s"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 21, ""class_probability_delta"": 0.021207749843597412, ""intensity_delta"": -0.027777671813964844, ""candidate_gate_time"": 0.01578814722597599, ""text_char_start"": 74, ""text_char_end"": 78, ""text_fragment"": ""take"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 31, ""class_probability_delta"": 0.01955750584602356, ""intensity_delta"": -0.025853917002677917, ""candidate_gate_time"": 0.020575588569045067, ""text_char_start"": 130, ""text_char_end"": 134, ""text_fragment"": ""into"", ""candidate_top1"": false}]","There's one lender at the moment which I think is just Bankwest who don't take rental income into account, they take rental yield into account.",aligned_position_only_seconds_unverified
04,04,Negative,-0.4530097544193268,0.720116376876831,text,"{""text"": {""class_probability_delta"": 0.6829233355820179, ""intensity_delta"": -1.2637716829776764, ""candidate_gate_time"": 0.6957671046257019, ""observed_positions"": 26, ""relative_influence"": 0.9440179907214661}, ""audio"": {""class_probability_delta"": -0.03950613737106323, ""intensity_delta"": 0.07095018029212952, ""candidate_gate_time"": 0.11337867379188538, ""observed_positions"": 26, ""relative_influence"": 0.05461008941862162}, ""vision"": {""class_probability_delta"": 0.0009924769401550293, ""intensity_delta"": 0.045767247676849365, ""candidate_gate_time"": 0.1908542662858963, ""observed_positions"": 26, ""relative_influence"": 0.0013719198599123246}}","[{""modality"": ""text"", ""position_0based"": 25, ""class_probability_delta"": 0.2121882438659668, ""intensity_delta"": -0.3503766134381294, ""candidate_gate_time"": 0.13356582820415497, ""text_char_start"": 103, ""text_char_end"": 106, ""text_fragment"": ""not"", ""candidate_top1"": true}, {""modality"": ""text"", ""position_0based"": 21, ""class_probability_delta"": 0.09346598386764526, ""intensity_delta"": -0.15184107422828674, ""candidate_gate_time"": 0.10834094136953354, ""text_char_start"": 82, ""text_char_end"": 89, ""text_fragment"": ""goodbye"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 24, ""class_probability_delta"": 0.055818796157836914, ""intensity_delta"": -0.1042548418045044, ""candidate_gate_time"": 0.05327177420258522, ""text_char_start"": 92, ""text_char_end"": 102, ""text_fragment"": ""Absolutely"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 10, ""class_probability_delta"": 0.05561584234237671, ""intensity_delta"": -0.10826781392097473, ""candidate_gate_time"": 0.044540148228406906, ""text_char_start"": 35, ""text_char_end"": 41, ""text_fragment"": ""should"", ""candidate_top1"": false}, {""modality"": ""audio"", ""position_0based"": 25, ""class_probability_delta"": -0.028993606567382812, ""intensity_delta"": 0.05331471562385559, ""candidate_gate_time"": 0.005015332717448473, ""text_char_start"": 103, ""text_char_end"": 106, ""text_fragment"": ""not"", ""candidate_top1"": false}]","If I blow it at the team exercise, should I kiss my chances of cheering ""GO BLUE"" goodbye?] Absolutely not.",aligned_position_only_seconds_unverified
05,05,Positive,0.5734415054321289,0.6787534356117249,vision,"{""text"": {""class_probability_delta"": 0.07955020666122437, ""intensity_delta"": 0.08818721771240234, ""candidate_gate_time"": 0.43455132842063904, ""observed_positions"": 15, ""relative_influence"": 0.2895344701480646}, ""audio"": {""class_probability_delta"": 0.005265355110168457, ""intensity_delta"": -0.06288319826126099, ""candidate_gate_time"": 0.26573729515075684, ""observed_positions"": 15, ""relative_influence"": 0.01916402063487191}, ""vision"": {""class_probability_delta"": 0.1899365484714508, ""intensity_delta"": 0.18623721599578857, ""candidate_gate_time"": 0.29971134662628174, ""observed_positions"": 15, ""relative_influence"": 0.6913015092170635}}","[{""modality"": ""text"", ""position_0based"": 2, ""class_probability_delta"": 0.01925879716873169, ""intensity_delta"": 0.020091474056243896, ""candidate_gate_time"": 0.02959645353257656, ""text_char_start"": 2, ""text_char_end"": 3, ""text_fragment"": "","", ""candidate_top1"": false}, {""modality"": ""vision"", ""position_0based"": 6, ""class_probability_delta"": 0.01679593324661255, ""intensity_delta"": 0.022387206554412842, ""candidate_gate_time"": 0.024069180712103844, ""text_char_start"": 15, ""text_char_end"": 20, ""text_fragment"": ""Chloe"", ""candidate_top1"": false}, {""modality"": ""vision"", ""position_0based"": 4, ""class_probability_delta"": 0.015987634658813477, ""intensity_delta"": 0.021213948726654053, ""candidate_gate_time"": 0.02089410461485386, ""text_char_start"": 7, ""text_char_end"": 11, ""text_fragment"": ""name"", ""candidate_top1"": false}, {""modality"": ""vision"", ""position_0based"": 1, ""class_probability_delta"": 0.014845013618469238, ""intensity_delta"": 0.020283043384552002, ""candidate_gate_time"": 0.02390560694038868, ""text_char_start"": 0, ""text_char_end"": 2, ""text_fragment"": ""Hi"", ""candidate_top1"": false}, {""modality"": ""vision"", ""position_0based"": 3, ""class_probability_delta"": 0.013656914234161377, ""intensity_delta"": 0.018488705158233643, ""candidate_gate_time"": 0.014585644006729126, ""text_char_start"": 4, ""text_char_end"": 6, ""text_fragment"": ""my"", ""candidate_top1"": false}]","Hi, my name is Chloe, video marketer for Red Wagon Marketing.",aligned_position_only_seconds_unverified
06,06,Positive,0.3850714862346649,0.597093403339386,text,"{""text"": {""class_probability_delta"": 0.404209166765213, ""intensity_delta"": 0.4845029339194298, ""candidate_gate_time"": 0.5970823168754578, ""observed_positions"": 35, ""relative_influence"": 0.8711845076095793}, ""audio"": {""class_probability_delta"": -0.002736985683441162, ""intensity_delta"": -0.0033347010612487793, ""candidate_gate_time"": 0.24527134001255035, ""observed_positions"": 35, ""relative_influence"": 0.005898974394977438}, ""vision"": {""class_probability_delta"": -0.05703037977218628, ""intensity_delta"": -0.11178195476531982, ""candidate_gate_time"": 0.1576462835073471, ""observed_positions"": 35, ""relative_influence"": 0.12291651799544323}}","[{""modality"": ""text"", ""position_0based"": 21, ""class_probability_delta"": 0.03795480728149414, ""intensity_delta"": 0.05425983667373657, ""candidate_gate_time"": 0.028762096539139748, ""text_char_start"": 79, ""text_char_end"": 89, ""text_fragment"": ""impressive"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 6, ""class_probability_delta"": 0.03295302391052246, ""intensity_delta"": 0.041595280170440674, ""candidate_gate_time"": 0.020439326763153076, ""text_char_start"": 12, ""text_char_end"": 15, ""text_fragment"": ""fan"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 14, ""class_probability_delta"": 0.022485971450805664, ""intensity_delta"": 0.025535762310028076, ""candidate_gate_time"": 0.014148573391139507, ""text_char_start"": 47, ""text_char_end"": 51, ""text_fragment"": ""like"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 34, ""class_probability_delta"": 0.01842343807220459, ""intensity_delta"": 0.021232932806015015, ""candidate_gate_time"": 0.025214076042175293, ""text_char_start"": 153, ""text_char_end"": 156, ""text_fragment"": ""for"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 22, ""class_probability_delta"": 0.018374919891357422, ""intensity_delta"": 0.024960875511169434, ""candidate_gate_time"": 0.01776799000799656, ""text_char_start"": 90, ""text_char_end"": 95, ""text_fragment"": ""dance"", ""candidate_top1"": false}]","If you're a fan of dancing in that sense, just like to watch people dance, see impressive dance moves then you might want to check out this movie solely for that",aligned_position_only_seconds_unverified
07,07,Positive,0.6834965348243713,0.7820600867271423,text,"{""text"": {""class_probability_delta"": 0.43822014331817627, ""intensity_delta"": 0.5443766266107559, ""candidate_gate_time"": 0.5168406963348389, ""observed_positions"": 48, ""relative_influence"": 0.8565286638488181}, ""audio"": {""class_probability_delta"": -0.04805004596710205, ""intensity_delta"": -0.15115320682525635, ""candidate_gate_time"": 0.27073726058006287, ""observed_positions"": 48, ""relative_influence"": 0.0939168185160172}, ""vision"": {""class_probability_delta"": 0.02535325288772583, ""intensity_delta"": 0.006552517414093018, ""candidate_gate_time"": 0.21242205798625946, ""observed_positions"": 48, ""relative_influence"": 0.04955451763516475}}","[{""modality"": ""text"", ""position_0based"": 21, ""class_probability_delta"": 0.10064888000488281, ""intensity_delta"": 0.13859927654266357, ""candidate_gate_time"": 0.06926524639129639, ""text_char_start"": 87, ""text_char_end"": 103, ""text_fragment"": ""enthusiastically"", ""candidate_top1"": true}, {""modality"": ""audio"", ""position_0based"": 21, ""class_probability_delta"": -0.03372985124588013, ""intensity_delta"": -0.05445140600204468, ""candidate_gate_time"": 0.007829745300114155, ""text_char_start"": 87, ""text_char_end"": 103, ""text_fragment"": ""enthusiastically"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 22, ""class_probability_delta"": 0.0226287841796875, ""intensity_delta"": 0.033544182777404785, ""candidate_gate_time"": 0.02145150862634182, ""text_char_start"": 104, ""text_char_end"": 113, ""text_fragment"": ""discussed"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 20, ""class_probability_delta"": 0.01984935998916626, ""intensity_delta"": 0.02903115749359131, ""candidate_gate_time"": 0.015232454985380173, ""text_char_start"": 86, ""text_char_end"": 87, ""text_fragment"": ""\u201c"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 23, ""class_probability_delta"": 0.014307558536529541, ""intensity_delta"": 0.02009493112564087, ""candidate_gate_time"": 0.013660364784300327, ""text_char_start"": 114, ""text_char_end"": 117, ""text_fragment"": ""the"", ""candidate_top1"": false}]","As Linn’s associate editor Michael Baadke reports in our November 28 issue, attendees “enthusiastically discussed the topics of growing the hobby, the future of stamp shows, and dealers and philatelic partnerships, along with ways the leading organizations involved in the stamp hobby can work together to make it succeed and grow",aligned_position_only_seconds_unverified
08,08,Positive,0.32844260334968567,0.5120330452919006,text,"{""text"": {""class_probability_delta"": 0.36370448768138885, ""intensity_delta"": 0.5049010813236237, ""candidate_gate_time"": 0.47909292578697205, ""observed_positions"": 11, ""relative_influence"": 0.7759503906409576}, ""audio"": {""class_probability_delta"": -0.049135029315948486, ""intensity_delta"": -0.1347188651561737, ""candidate_gate_time"": 0.30104148387908936, ""observed_positions"": 11, ""relative_influence"": 0.10482781071776173}, ""vision"": {""class_probability_delta"": -0.0558817982673645, ""intensity_delta"": -0.11822795867919922, ""candidate_gate_time"": 0.21986554563045502, ""observed_positions"": 11, ""relative_influence"": 0.11922179864128063}}","[{""modality"": ""text"", ""position_0based"": 8, ""class_probability_delta"": 0.09424617886543274, ""intensity_delta"": 0.10726054012775421, ""candidate_gate_time"": 0.06061631441116333, ""text_char_start"": 31, ""text_char_end"": 40, ""text_fragment"": ""Universal"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 2, ""class_probability_delta"": 0.06950607895851135, ""intensity_delta"": 0.06951791048049927, ""candidate_gate_time"": 0.067388154566288, ""text_char_start"": 5, ""text_char_end"": 11, ""text_fragment"": ""brings"", ""candidate_top1"": true}, {""modality"": ""text"", ""position_0based"": 10, ""class_probability_delta"": 0.06468275189399719, ""intensity_delta"": 0.06903761625289917, ""candidate_gate_time"": 0.0456702895462513, ""text_char_start"": 48, ""text_char_end"": 53, ""text_fragment"": ""Grand"", ""candidate_top1"": false}, {""modality"": ""audio"", ""position_0based"": 8, ""class_probability_delta"": -0.060901522636413574, ""intensity_delta"": -0.0785803496837616, ""candidate_gate_time"": 0.030601603910326958, ""text_char_start"": 31, ""text_char_end"": 40, ""text_fragment"": ""Universal"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 3, ""class_probability_delta"": 0.04022204875946045, ""intensity_delta"": 0.03711166977882385, ""candidate_gate_time"": 0.04316817596554756, ""text_char_start"": 12, ""text_char_end"": 14, ""text_fragment"": ""us"", ""candidate_top1"": false}]","That brings us to tonight, the Universal Design Grand Challenge",aligned_position_only_seconds_unverified
09,09,Negative,-2.478863477706909,0.9982686042785645,text,"{""text"": {""class_probability_delta"": 0.8296918123960495, ""intensity_delta"": -2.6314833909273148, ""candidate_gate_time"": 0.9560548663139343, ""observed_positions"": 18, ""relative_influence"": 0.9992494817305243}, ""audio"": {""class_probability_delta"": -0.0001881122589111328, ""intensity_delta"": 0.01847362518310547, ""candidate_gate_time"": 0.016459545120596886, ""observed_positions"": 18, ""relative_influence"": 0.00022655529970974398}, ""vision"": {""class_probability_delta"": 0.00043505430221557617, ""intensity_delta"": -0.08323526382446289, ""candidate_gate_time"": 0.027485648170113564, ""observed_positions"": 18, ""relative_influence"": 0.0005239629697659763}}","[{""modality"": ""text"", ""position_0based"": 7, ""class_probability_delta"": 0.00249403715133667, ""intensity_delta"": -0.3490111827850342, ""candidate_gate_time"": 0.1690705269575119, ""text_char_start"": 12, ""text_char_end"": 15, ""text_fragment"": ""not"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 6, ""class_probability_delta"": 0.0018531084060668945, ""intensity_delta"": -0.26007080078125, ""candidate_gate_time"": 0.18082104623317719, ""text_char_start"": 8, ""text_char_end"": 11, ""text_fragment"": ""did"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 8, ""class_probability_delta"": 0.00042617321014404297, ""intensity_delta"": -0.07230758666992188, ""candidate_gate_time"": 0.05143379792571068, ""text_char_start"": 16, ""text_char_end"": 20, ""text_fragment"": ""like"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 17, ""class_probability_delta"": 0.0004016757011413574, ""intensity_delta"": -0.06847357749938965, ""candidate_gate_time"": 0.05826739966869354, ""text_char_start"": 52, ""text_char_end"": 61, ""text_fragment"": ""recommend"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 5, ""class_probability_delta"": 0.00037533044815063477, ""intensity_delta"": -0.0712895393371582, ""candidate_gate_time"": 0.02395562268793583, ""text_char_start"": 6, ""text_char_end"": 7, ""text_fragment"": ""I"", ""candidate_top1"": false}]","(uhh) I did not like this movie at all, I would not recommend it",aligned_position_only_seconds_unverified
10,10,Negative,-1.8619130849838257,0.9941563606262207,text,"{""text"": {""class_probability_delta"": 0.9153283834457397, ""intensity_delta"": -2.3497004210948944, ""candidate_gate_time"": 0.9530372619628906, ""observed_positions"": 30, ""relative_influence"": 0.9968076398026385}, ""audio"": {""class_probability_delta"": -0.0005244612693786621, ""intensity_delta"": 0.0058705806732177734, ""candidate_gate_time"": 0.022208424285054207, ""observed_positions"": 30, ""relative_influence"": 0.0005711469343157657}, ""vision"": {""class_probability_delta"": 0.0024069547653198242, ""intensity_delta"": -0.14001893997192383, ""candidate_gate_time"": 0.024754395708441734, ""observed_positions"": 30, ""relative_influence"": 0.0026212132630457157}}","[{""modality"": ""text"", ""position_0based"": 29, ""class_probability_delta"": 0.04364442825317383, ""intensity_delta"": -0.6310828924179077, ""candidate_gate_time"": 0.597430944442749, ""text_char_start"": 114, ""text_char_end"": 120, ""text_fragment"": ""pretty"", ""candidate_top1"": true}, {""modality"": ""text"", ""position_0based"": 30, ""class_probability_delta"": 0.010877907276153564, ""intensity_delta"": -0.39133787155151367, ""candidate_gate_time"": 0.08508457988500595, ""text_char_start"": 121, ""text_char_end"": 129, ""text_fragment"": ""terrible"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 28, ""class_probability_delta"": 0.00808262825012207, ""intensity_delta"": -0.320436954498291, ""candidate_gate_time"": 0.08557184785604477, ""text_char_start"": 110, ""text_char_end"": 113, ""text_fragment"": ""was"", ""candidate_top1"": false}, {""modality"": ""vision"", ""position_0based"": 29, ""class_probability_delta"": 0.0022763609886169434, ""intensity_delta"": -0.10653436183929443, ""candidate_gate_time"": 0.0031808188650757074, ""text_char_start"": 114, ""text_char_end"": 120, ""text_fragment"": ""pretty"", ""candidate_top1"": false}, {""modality"": ""text"", ""position_0based"": 8, ""class_probability_delta"": -0.0006318092346191406, ""intensity_delta"": 0.05151712894439697, ""candidate_gate_time"": 0.023150742053985596, ""text_char_start"": 21, ""text_char_end"": 27, ""text_fragment"": ""really"", ""candidate_top1"": false}]",(umm) And you know I really do like to see fluffy chick flicks sometimes so I'm not against that but this one was pretty terrible,aligned_position_only_seconds_unverified
