model,split,seed,accuracy,macro_f1,neutral_f1,mae,pearson_r
temporal,valid,20260924,0.6318681318681318,0.5893393169490596,0.39628482972136225,0.5725601668531014,0.6787583039353154
temporal,valid,20260925,0.6236263736263736,0.5647307452091702,0.3357664233576642,0.5784762804498794,0.672321693197396
temporal,valid,20260926,0.6318681318681318,0.568719683866325,0.32,0.5604020472319162,0.6925693771604581
temporal,test,20260924,0.687757909215956,0.6217436828399281,0.3763837638376384,0.6138106201925255,0.7014915610825905
temporal,test,20260925,0.6740027510316369,0.5903275391992814,0.3157894736842105,0.6264487728912081,0.6843901363270478
temporal,test,20260926,0.7015130674002751,0.6189071152289412,0.336283185840708,0.6156427549221328,0.6937946594003225
balanced,valid,20260924,0.6318681318681318,0.6125499361644368,0.4845360824742268,0.5662338541319164,0.6842874464271488
balanced,valid,20260925,0.6277472527472527,0.6046866151188058,0.4573002754820937,0.5780493683887871,0.6737981100971445
balanced,valid,20260926,0.6428571428571429,0.6125121489590261,0.4393063583815029,0.5614784080279316,0.6877272582049359
balanced,test,20260924,0.6891334250343879,0.6522670116540922,0.4620253164556962,0.6028985820269979,0.7100580089259717
balanced,test,20260925,0.6795048143053645,0.6361613256371023,0.4370860927152318,0.6237419355414715,0.6844989948744272
balanced,test,20260926,0.6836313617606602,0.6288819800128499,0.39436619718309857,0.6219596358674593,0.6892738721407543
text_safe,valid,20260924,0.6167582417582418,0.5896654667488,0.42702702702702705,0.5765242464891583,0.6759868288542322
text_safe,valid,20260925,0.6236263736263736,0.6057175778045644,0.4723618090452261,0.5715231231725928,0.6711869960404757
text_safe,valid,20260926,0.6483516483516484,0.6081676134791759,0.41423948220064727,0.5581021997310057,0.6924656240789111
text_safe,test,20260924,0.6740027510316369,0.6319491139328041,0.4416403785488959,0.6281903976167167,0.6935679541049271
text_safe,test,20260925,0.6781292984869326,0.6455279723276736,0.456973293768546,0.6091877653467196,0.6972155591263597
text_safe,test,20260926,0.6740027510316369,0.6108051242769741,0.36923076923076925,0.6277046096568832,0.6880470189357761
