sample	video_id	clip_id	word_index	word	char_start	char_end	start_s	end_s	timing_mask	text_mask	audio_mask	vision_mask	all_modalities_mask	audio_window_coverage	vision_coverage	audio_window_count	vision_frame_count	needs_review	alignment_review_flags	merge_review_flags	word_review_flags	verified_digital_silence	candidate_timing_excluding_silence	candidate_audio_excluding_silence	candidate_all_modalities_excluding_silence
sample_0001	-3g5yACwYnA	13	1	They've	0	7	1.44	1.6	true	true	true	true	true	1	1	17	5	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	2	been	8	12	1.62	1.74	true	true	true	true	true	1	1	13	5	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	3	able	13	17	1.76	1.9	true	true	true	true	true	1	1	15	5	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	4	to	18	20	1.96	2.02	true	true	true	true	true	1	1	7	3	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	5	find	21	25	2.18	2.38	true	true	true	true	true	1	1	21	7	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	6	solutions	26	35	2.44	2.92	true	true	true	true	true	1	1	49	15	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	7	or	36	38	3.02	3.06	true	true	true	true	true	1	1	5	2	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	8	at	39	41	3.16	3.24	true	true	true	true	true	1	1	9	4	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	9	least	42	47	3.26	3.4	true	true	true	true	true	1	1	15	5	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	10	bring	48	53	3.46	3.72	true	true	true	true	true	1	1	27	9	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	11	some	54	58	3.8	3.96	true	true	true	true	true	1	1	17	5	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	12	answers	59	66	4.06	4.34	true	true	true	true	true	1	1	29	10	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	13	to	67	69	4.38	4.42	true	true	true	true	true	1	1	5	2	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	14	the	70	73	4.46	4.56	true	true	true	true	true	1	1	11	4	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0001	-3g5yACwYnA	13	15	table.	74	80	4.6	4.86	true	true	true	true	true	1	1	27	8	true	asr_disagreement;transcript_review_needed			false	true	true	true
sample_0002	-3g5yACwYnA	3	1	We're	0	5	0.6	0.94	true	true	true	true	true	1	1	35	11	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	2	a	6	7	1.24	1.26	true	true	true	true	true	1	1	3	1	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	3	huge	8	12	1.36	1.66	true	true	true	true	true	1	1	31	10	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	4	user	13	17	2.64	2.9	true	true	true	true	true	1	1	27	8	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	5	of	18	20	2.96	3	true	true	true	true	true	1	1	5	2	true	asr_disagreement;low_ctc_probability		low_ctc_probability	false	true	true	true
sample_0002	-3g5yACwYnA	3	6	adhesives	21	30	3.1	3.52	true	true	true	true	true	1	1	43	13	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	7	for	31	34	4.2	4.38	true	true	true	true	true	1	1	19	6	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	8	our	35	38	4.58	4.66	true	true	true	true	true	1	1	9	3	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	9	operation,	39	49	4.74	5.18	true	true	true	true	true	1	1	45	14	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	10	called	50	56	5.64	5.82	true	true	true	true	true	1	1	19	6	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	11	flocking,	57	66	5.86	6.26	true	true	true	true	true	1	1	41	13	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	12	and	67	70	6.6	6.72	true	true	true	true	true	1	1	13	4	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	13	we	71	73	7.02	7.08	true	true	true	true	true	1	1	7	3	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	14	don't	74	79	7.14	7.26	true	true	true	true	true	1	1	13	4	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	15	have	80	84	7.28	7.36	true	true	true	true	true	1	1	9	3	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	16	the	85	88	7.4	7.46	true	true	true	true	true	1	1	7	2	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	17	technical	89	98	7.52	7.88	true	true	true	true	true	1	1	37	12	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	18	inside	99	105	8.38	8.66	true	true	true	true	true	1	1	29	9	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	19	compounding	106	117	9.4	9.98	true	true	true	true	true	1	1	59	18	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	20	or	118	120	10.2	10.26	true	true	true	true	true	1	1	7	2	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	21	the	121	124	10.34	10.4	true	true	true	true	true	1	1	7	2	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	22	technical	125	134	10.46	10.78	true	true	true	true	true	1	1	33	11	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	23	expertise	135	144	10.84	11.28	true	true	true	true	true	1	1	45	14	true	asr_disagreement;low_ctc_probability			false	true	true	true
sample_0002	-3g5yACwYnA	3	24	to	145	147	11.32	11.36	true	true	true	true	true	1	1	5	2	true	asr_disagreement;low_ctc_probability			false	true	true	true
