source_excel_row,video_id,clip_id,video_relpath,text,label,annotation,qc_status,qc_note,stage_relpath,source_sha256,staged_sha256
2,-3g5yACwYnA,13,-3g5yACwYnA/13.mp4,They've been able to find solutions or at least bring some answers to the table.,0.6666666865348816,Positive,transcript_review_needed,Listener heard 'matters' instead of source 'answers'; unverified.,mosei-stage-v1.0/sample_0001.mp4,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f
3,-3g5yACwYnA,3,-3g5yACwYnA/3.mp4,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0002.mp4,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d
4,-3g5yACwYnA,2,-3g5yACwYnA/2.mp4,Key Polymer brings a technical aspect to our operation that we don't have internally.,0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0003.mp4,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7
5,-3g5yACwYnA,9,-3g5yACwYnA/9.mp4,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",0.6666666865348816,Positive,not_reviewed,,mosei-stage-v1.0/sample_0004.mp4,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016
6,-3nNcZdcdvU,5,-3nNcZdcdvU/5.mp4,Noncompliance can result in legal liability to you and to the school district in which you are employed.,0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0005.mp4,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728
7,-HwX2H8Z4hY,2,-HwX2H8Z4hY/2.mp4,"” [President Ronald Reagan:] ""Look at the record",0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0006.mp4,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358
8,-HwX2H8Z4hY,5,-HwX2H8Z4hY/5.mp4,""" President Ronald Reagan blamed the professional bureaucracy of education",-1.0,Negative,not_reviewed,,mosei-stage-v1.0/sample_0007.mp4,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d
9,-HwX2H8Z4hY,6,-HwX2H8Z4hY/6.mp4,"And in part, Al Shanker did too",0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0008.mp4,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46
10,-HwX2H8Z4hY,9,-HwX2H8Z4hY/9.mp4,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,-0.3333333432674408,Negative,not_reviewed,,mosei-stage-v1.0/sample_0009.mp4,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702
11,-NFrJFQijFE,1,-NFrJFQijFE/1.mp4,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,0.3333333432674408,Positive,not_reviewed,,mosei-stage-v1.0/sample_0010.mp4,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f
12,-NFrJFQijFE,2,-NFrJFQijFE/2.mp4,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0011.mp4,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1
13,-THoVjtIkeU,12,-THoVjtIkeU/12.mp4,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",2.0,Positive,not_reviewed,,mosei-stage-v1.0/sample_0012.mp4,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4
14,-THoVjtIkeU,2,-THoVjtIkeU/2.mp4,I think social justice is extremely important for young people.,1.3333333730697632,Positive,not_reviewed,,mosei-stage-v1.0/sample_0013.mp4,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b
15,-THoVjtIkeU,6,-THoVjtIkeU/6.mp4,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",2.6666667461395264,Positive,not_reviewed,,mosei-stage-v1.0/sample_0014.mp4,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64
16,-UuX1xuaiiE,1,-UuX1xuaiiE/1.mp4,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,1.6666666269302368,Positive,not_reviewed,,mosei-stage-v1.0/sample_0015.mp4,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c
17,-UuX1xuaiiE,0,-UuX1xuaiiE/0.mp4,^it's amazing to see their enthusiasm and their passion,2.6666667461395264,Positive,not_reviewed,,mosei-stage-v1.0/sample_0016.mp4,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8
18,-UuX1xuaiiE,3,-UuX1xuaiiE/3.mp4,My goal is to become a human rights lawyer,0.3333333432674408,Positive,not_reviewed,,mosei-stage-v1.0/sample_0017.mp4,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa
19,-UuX1xuaiiE,6,-UuX1xuaiiE/6.mp4,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",-0.3333333432674408,Negative,not_reviewed,,mosei-stage-v1.0/sample_0018.mp4,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532
20,-a55Q6RWvTA,3,-a55Q6RWvTA/3.mp4,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",0.6666666865348816,Positive,not_reviewed,,mosei-stage-v1.0/sample_0019.mp4,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946
21,-aNfi7CP8vM,7,-aNfi7CP8vM/7.mp4,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0020.mp4,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1
22,-aqamKhZ1Ec,0,-aqamKhZ1Ec/0.mp4,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",-2.0,Negative,not_reviewed,,mosei-stage-v1.0/sample_0021.mp4,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548
23,-dxfTGcXJoc,1,-dxfTGcXJoc/1.mp4,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",1.6666666269302368,Positive,not_reviewed,,mosei-stage-v1.0/sample_0022.mp4,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595
24,-dxfTGcXJoc,0,-dxfTGcXJoc/0.mp4,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",1.0,Positive,not_reviewed,,mosei-stage-v1.0/sample_0023.mp4,04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55,04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55
25,-dxfTGcXJoc,2,-dxfTGcXJoc/2.mp4,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",0.6666666865348816,Positive,not_reviewed,,mosei-stage-v1.0/sample_0024.mp4,46a5e523b5dd00364c99a3bcbc6fae4c80e1382a84b5b5e681c46eb074ed10f7,46a5e523b5dd00364c99a3bcbc6fae4c80e1382a84b5b5e681c46eb074ed10f7
26,-dxfTGcXJoc,6,-dxfTGcXJoc/6.mp4,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,0.6666666865348816,Positive,not_reviewed,,mosei-stage-v1.0/sample_0025.mp4,55c1ff86729ab21da743a5107ed07b220e41b4193cd1c0ba9f009e65c3ab0513,55c1ff86729ab21da743a5107ed07b220e41b4193cd1c0ba9f009e65c3ab0513
27,-egA8-b7-3M,26,-egA8-b7-3M/26.mp4,We're updating it all the time and looking forward to your comments on our videos.,1.6666666269302368,Positive,not_reviewed,,mosei-stage-v1.0/sample_0026.mp4,11f78aed680ea9c5862a15e04ff6c1f8776c46d29c98b68d28773ff39d959685,11f78aed680ea9c5862a15e04ff6c1f8776c46d29c98b68d28773ff39d959685
28,-egA8-b7-3M,17,-egA8-b7-3M/17.mp4,"As you have more experience, you have more times exhibiting, you get to know more people.",0.3333333432674408,Positive,not_reviewed,,mosei-stage-v1.0/sample_0027.mp4,f967e81e0edd51c3700671721afb3fbecbbc32652f27d2db40ea444e8d80c68f,f967e81e0edd51c3700671721afb3fbecbbc32652f27d2db40ea444e8d80c68f
29,-egA8-b7-3M,18,-egA8-b7-3M/18.mp4,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,1.0,Positive,not_reviewed,,mosei-stage-v1.0/sample_0028.mp4,fd4bc95a6adfb16a9588b7ed65cc2812186ce3d607804dc76f4486312951ef90,fd4bc95a6adfb16a9588b7ed65cc2812186ce3d607804dc76f4486312951ef90
30,-egA8-b7-3M,16,-egA8-b7-3M/16.mp4,"Third, another big benefit of exhibiting is connecting with existing clients.",0.6666666865348816,Positive,not_reviewed,,mosei-stage-v1.0/sample_0029.mp4,4c015f85e3bd901ecedde8c0c2ca4a756d9a77dfe4177625c481581f2037ff9c,4c015f85e3bd901ecedde8c0c2ca4a756d9a77dfe4177625c481581f2037ff9c
31,-egA8-b7-3M,13,-egA8-b7-3M/13.mp4,"What are you doing that's different?"" They always want an answer.",0.3333333432674408,Positive,not_reviewed,,mosei-stage-v1.0/sample_0030.mp4,cbd627c225ebca37521ae238cb9ec254cad236822f4f37ebfbb039e6c56aea4c,cbd627c225ebca37521ae238cb9ec254cad236822f4f37ebfbb039e6c56aea4c
32,-egA8-b7-3M,1,-egA8-b7-3M/1.mp4,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,0.6666666865348816,Positive,not_reviewed,,mosei-stage-v1.0/sample_0031.mp4,589a7989b1b4888568c31614a2d6beefba88fb87289c85b94df2d8051500403b,589a7989b1b4888568c31614a2d6beefba88fb87289c85b94df2d8051500403b
33,-egA8-b7-3M,6,-egA8-b7-3M/6.mp4,First exhibiting is a wonderful opportunity to network with other legal vendors.,0.6666666865348816,Positive,not_reviewed,,mosei-stage-v1.0/sample_0032.mp4,2e88a00d5e55863aa956b4b0949fc0e4f2975ccfd83b3194957f6fca86ecfce0,2e88a00d5e55863aa956b4b0949fc0e4f2975ccfd83b3194957f6fca86ecfce0
34,-egA8-b7-3M,9,-egA8-b7-3M/9.mp4,"Secondly, another goal of exhibiting  is building your company image.",0.3333333432674408,Positive,not_reviewed,,mosei-stage-v1.0/sample_0033.mp4,bcd643f328616312eae9b28e6c9aabbe8acaec3e4c4be58daeb45e3eee4d973c,bcd643f328616312eae9b28e6c9aabbe8acaec3e4c4be58daeb45e3eee4d973c
35,-egA8-b7-3M,20,-egA8-b7-3M/20.mp4,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",0.3333333432674408,Positive,not_reviewed,,mosei-stage-v1.0/sample_0034.mp4,719ef133920e74b3ea33925d2bca0270b062199116867568f88ac83cadcd74e8,719ef133920e74b3ea33925d2bca0270b062199116867568f88ac83cadcd74e8
36,-iRBcNs9oI8,3,-iRBcNs9oI8/3.mp4,"Well, it is the secret of power pose",0.6666666865348816,Positive,not_reviewed,,mosei-stage-v1.0/sample_0035.mp4,39c547acd1a8da2ebc6c6ab008191a5676420398a974cd9611cad087f0ccec50,39c547acd1a8da2ebc6c6ab008191a5676420398a974cd9611cad087f0ccec50
