file_id,sample_id,source_sha256,content_positions,source_zero_runs_json,observed_positions_json,class_probabilities_json
附件3_01,attachment3:附件3_01,b45b89a7eea55278abb130d44a6ee21128df5aa3239e68c968f9ac7743cfa0ea,6,"{""text"": [], ""audio"": [], ""vision"": []}","{""text"": 6, ""audio"": 6, ""vision"": 6}","[0.44836142659187317, 0.29549604654312134, 0.2561425268650055]"
附件3_02,attachment3:附件3_02,6a628897c4b8c5e94e37f23bce680aad500fa8545414234f3564a58577c1023b,28,"{""text"": [], ""audio"": [[2, 3], [5, 6], [7, 8], [9, 11]], ""vision"": [[2, 3], [5, 6], [7, 8], [9, 11]]}","{""text"": 28, ""audio"": 23, ""vision"": 23}","[0.2786228656768799, 0.5193135738372803, 0.20206359028816223]"
附件3_03,attachment3:附件3_03,52bb6e11f4bba301e1bd90916dc9ad3a0d2d0885fec4598e3e737e2c4d100b6f,32,"{""text"": [], ""audio"": [[6, 7], [16, 17], [20, 21], [23, 24], [31, 32]], ""vision"": [[6, 7], [16, 17], [20, 22], [23, 27], [31, 32]]}","{""text"": 32, ""audio"": 27, ""vision"": 23}","[0.13195674121379852, 0.5832818746566772, 0.28476136922836304]"
附件3_04,attachment3:附件3_04,ee1f4781ee7b7bc37e71a13e4bc53eedc8327d96a69c246964d0e84a8aa99f72,31,"{""text"": [], ""audio"": [[6, 7], [8, 9]], ""vision"": [[6, 7], [8, 9]]}","{""text"": 31, ""audio"": 29, ""vision"": 29}","[0.09890368580818176, 0.27845361828804016, 0.6226426362991333]"
附件3_05,attachment3:附件3_05,9f8e5bae8488d8ee1576b1686864b7d8fc9970cfa720758fb040b9293b7e3619,12,"{""text"": [], ""audio"": [], ""vision"": []}","{""text"": 12, ""audio"": 12, ""vision"": 12}","[0.8856456279754639, 0.05796869844198227, 0.056385647505521774]"
附件3_06,attachment3:附件3_06,9e973621f141b1af24fc3686ac329a10b66ba2b84d18c21918e86bf0429f790d,25,"{""text"": [], ""audio"": [[14, 15], [17, 18], [25, 26]], ""vision"": [[14, 15], [17, 18], [25, 26]]}","{""text"": 25, ""audio"": 22, ""vision"": 22}","[0.03303860127925873, 0.21932730078697205, 0.7476340532302856]"
附件3_07,attachment3:附件3_07,62dd394e23c80af2898e039d7eb6f47556d747887331fa2853dad72e13bb223b,21,"{""text"": [], ""audio"": [[10, 11], [12, 13], [14, 15]], ""vision"": [[10, 11], [12, 13], [14, 15]]}","{""text"": 21, ""audio"": 18, ""vision"": 18}","[0.126050665974617, 0.39541202783584595, 0.47853732109069824]"
附件3_08,attachment3:附件3_08,e668faea97f9a338051c19ee66383df799b2e461d6d079df8c5f92b32bd6437e,15,"{""text"": [], ""audio"": [[9, 11]], ""vision"": [[9, 11]]}","{""text"": 15, ""audio"": 13, ""vision"": 13}","[0.13952450454235077, 0.5044252276420593, 0.3560502529144287]"
附件3_09,attachment3:附件3_09,ef57769eaa05f53a7d588948d565876356898658d9945202058ca763e53748b2,14,"{""text"": [], ""audio"": [[3, 5]], ""vision"": [[3, 5]]}","{""text"": 14, ""audio"": 12, ""vision"": 12}","[0.004769110586494207, 0.06877554953098297, 0.9264553189277649]"
附件3_10,attachment3:附件3_10,7c87d84d69e0e68b9252c9839747558d07a91fd2d079a9a0850683d0d197241e,6,"{""text"": [], ""audio"": [], ""vision"": []}","{""text"": 6, ""audio"": 6, ""vision"": 6}","[0.11939883232116699, 0.6272726655006409, 0.25332844257354736]"
附件3_11,attachment3:附件3_11,10e9d5443cecf2de9170deaa56995de0cf9c52580a74cd334de8fea0e4a735f2,14,"{""text"": [], ""audio"": [[4, 6], [7, 8], [14, 15]], ""vision"": [[4, 6], [7, 8], [14, 15]]}","{""text"": 14, ""audio"": 10, ""vision"": 10}","[0.12523218989372253, 0.5096797943115234, 0.36508801579475403]"
附件3_12,attachment3:附件3_12,d0342f4931a05e40fb0a3220010f1ac801a2f06d123bc4d9a7dc5355794347ba,13,"{""text"": [], ""audio"": [[5, 6], [13, 14]], ""vision"": [[5, 6], [13, 14]]}","{""text"": 13, ""audio"": 11, ""vision"": 11}","[0.1394074261188507, 0.43714746832847595, 0.4234451353549957]"
