file_id,sample_id,polarity,intensity,predicted_class_probability,primary_modality,modality_effects_json,top_evidence_json,raw_text,video_file,time_mapping_status
01,01,Positive,0.21625220775604248,0.46534737944602966,audio,"{""text"": {""class_probability_delta"": -0.010558873414993286, ""intensity_delta"": 0.006779730319976807, ""observed_positions"": 22, ""relative_influence"": 0.0493319247926141}, ""audio"": {""class_probability_delta"": 0.1740303635597229, ""intensity_delta"": 0.07629261910915375, ""observed_positions"": 22, ""relative_influence"": 0.8130841681053526}, ""vision"": {""class_probability_delta"": -0.029448091983795166, ""intensity_delta"": -0.12681543827056885, ""observed_positions"": 22, ""relative_influence"": 0.1375839071020333}}","[{""modality"": ""audio"", ""position_0based"": 3, ""candidate_gate_time"": 0.020257221534848213, ""candidate_top1"": true, ""class_probability_delta"": 0.020529955625534058, ""intensity_delta"": 0.014157533645629883, ""text_char_start"": 16, ""text_char_end"": 20, ""text_fragment"": ""wear""}, {""modality"": ""audio"", ""position_0based"": 4, ""candidate_gate_time"": 0.019720857962965965, ""candidate_top1"": false, ""class_probability_delta"": 0.01904013752937317, ""intensity_delta"": 0.013558804988861084, ""text_char_start"": 21, ""text_char_end"": 31, ""text_fragment"": ""components""}, {""modality"": ""audio"", ""position_0based"": 2, ""candidate_gate_time"": 0.014880307018756866, ""candidate_top1"": false, ""class_probability_delta"": 0.015291780233383179, ""intensity_delta"": 0.011998921632766724, ""text_char_start"": 10, ""text_char_end"": 15, ""text_fragment"": ""these""}, {""modality"": ""audio"", ""position_0based"": 5, ""candidate_gate_time"": 0.012273650616407394, ""candidate_top1"": false, ""class_probability_delta"": 0.012666523456573486, ""intensity_delta"": 0.005892306566238403, ""text_char_start"": 32, ""text_char_end"": 36, ""text_fragment"": ""when""}, {""modality"": ""audio"", ""position_0based"": 9, ""candidate_gate_time"": 0.0078512504696846, ""candidate_top1"": false, ""class_probability_delta"": 0.012171506881713867, ""intensity_delta"": 0.004884272813796997, ""text_char_start"": 58, ""text_char_end"": 62, ""text_fragment"": ""belt""}]",Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,D:\01_Projects\HuaweiCup-2026\01_Source\E\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\01.mp4,aligned_position_only_seconds_unverified
02,02,Positive,0.1462952196598053,0.5105347037315369,text,"{""text"": {""class_probability_delta"": 0.28809720277786255, ""intensity_delta"": 0.3968897759914398, ""observed_positions"": 19, ""relative_influence"": 0.4737736867533557}, ""audio"": {""class_probability_delta"": 0.11668795347213745, ""intensity_delta"": 0.10940606147050858, ""observed_positions"": 19, ""relative_influence"": 0.19189246331844845}, ""vision"": {""class_probability_delta"": -0.203305184841156, ""intensity_delta"": -0.3090667128562927, ""observed_positions"": 19, ""relative_influence"": 0.33433384992819587}}","[{""modality"": ""text"", ""position_0based"": 18, ""candidate_gate_time"": 0.0720389187335968, ""candidate_top1"": false, ""class_probability_delta"": -0.11447995901107788, ""intensity_delta"": -0.18239837884902954, ""text_char_start"": 64, ""text_char_end"": 70, ""text_fragment"": ""misery""}, {""modality"": ""text"", ""position_0based"": 3, ""candidate_gate_time"": 0.11794410645961761, ""candidate_top1"": true, ""class_probability_delta"": 0.11068278551101685, ""intensity_delta"": 0.1518111675977707, ""text_char_start"": 8, ""text_char_end"": 10, ""text_fragment"": ""to""}, {""modality"": ""text"", ""position_0based"": 2, ""candidate_gate_time"": 0.0736669972538948, ""candidate_top1"": false, ""class_probability_delta"": 0.06959199905395508, ""intensity_delta"": 0.08752276748418808, ""text_char_start"": 3, ""text_char_end"": 7, ""text_fragment"": ""want""}, {""modality"": ""audio"", ""position_0based"": 18, ""candidate_gate_time"": 0.009788663126528263, ""candidate_top1"": false, ""class_probability_delta"": 0.06443533301353455, ""intensity_delta"": 0.08710595220327377, ""text_char_start"": 64, ""text_char_end"": 70, ""text_fragment"": ""misery""}, {""modality"": ""text"", ""position_0based"": 4, ""candidate_gate_time"": 0.07278753817081451, ""candidate_top1"": false, ""class_probability_delta"": 0.05493101477622986, ""intensity_delta"": 0.07166090607643127, ""text_char_start"": 11, ""text_char_end"": 15, ""text_fragment"": ""live""}]",We want to live by each other’s happiness - not by each other’s misery.,D:\01_Projects\HuaweiCup-2026\01_Source\E\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,aligned_position_only_seconds_unverified
03,03,Negative,-0.1240258514881134,0.38184985518455505,text,"{""text"": {""class_probability_delta"": 0.2812190651893616, ""intensity_delta"": -0.514969527721405, ""observed_positions"": 33, ""relative_influence"": 0.7081838929082814}, ""audio"": {""class_probability_delta"": -0.022628217935562134, ""intensity_delta"": 0.14195507764816284, ""observed_positions"": 33, ""relative_influence"": 0.05698383022642096}, ""vision"": {""class_probability_delta"": 0.09325164556503296, ""intensity_delta"": -0.07223226875066757, ""observed_positions"": 33, ""relative_influence"": 0.23483227686529756}}","[{""modality"": ""text"", ""position_0based"": 20, ""candidate_gate_time"": 0.04015735164284706, ""candidate_top1"": true, ""class_probability_delta"": 0.04601556062698364, ""intensity_delta"": -0.06163627654314041, ""text_char_start"": 72, ""text_char_end"": 73, ""text_fragment"": ""t""}, {""modality"": ""text"", ""position_0based"": 28, ""candidate_gate_time"": 0.02509595826268196, ""candidate_top1"": false, ""class_probability_delta"": 0.036463797092437744, ""intensity_delta"": -0.04589572548866272, ""text_char_start"": 112, ""text_char_end"": 116, ""text_fragment"": ""take""}, {""modality"": ""text"", ""position_0based"": 21, ""candidate_gate_time"": 0.015542012639343739, ""candidate_top1"": false, ""class_probability_delta"": 0.02775898575782776, ""intensity_delta"": -0.03529278188943863, ""text_char_start"": 74, ""text_char_end"": 78, ""text_fragment"": ""take""}, {""modality"": ""text"", ""position_0based"": 31, ""candidate_gate_time"": 0.019315864890813828, ""candidate_top1"": false, ""class_probability_delta"": 0.027364403009414673, ""intensity_delta"": -0.039648979902267456, ""text_char_start"": 130, ""text_char_end"": 134, ""text_fragment"": ""into""}, {""modality"": ""text"", ""position_0based"": 24, ""candidate_gate_time"": 0.015479075722396374, ""candidate_top1"": false, ""class_probability_delta"": 0.021282434463500977, ""intensity_delta"": -0.029777273535728455, ""text_char_start"": 93, ""text_char_end"": 97, ""text_fragment"": ""into""}]","There's one lender at the moment which I think is just Bankwest who don't take rental income into account, they take rental yield into account.",D:\01_Projects\HuaweiCup-2026\01_Source\E\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,aligned_position_only_seconds_unverified
04,04,Negative,-0.26928025484085083,0.652175784111023,text,"{""text"": {""class_probability_delta"": 0.6076745986938477, ""intensity_delta"": -1.1284961700439453, ""observed_positions"": 26, ""relative_influence"": 0.8596172421794478}, ""audio"": {""class_probability_delta"": -0.06070542335510254, ""intensity_delta"": 0.15783020853996277, ""observed_positions"": 26, ""relative_influence"": 0.08587396728777798}, ""vision"": {""class_probability_delta"": 0.03853297233581543, ""intensity_delta"": -0.0256911963224411, ""observed_positions"": 26, ""relative_influence"": 0.05450879053277428}}","[{""modality"": ""text"", ""position_0based"": 25, ""candidate_gate_time"": 0.1200835108757019, ""candidate_top1"": true, ""class_probability_delta"": 0.23752063512802124, ""intensity_delta"": -0.3380505442619324, ""text_char_start"": 103, ""text_char_end"": 106, ""text_fragment"": ""not""}, {""modality"": ""text"", ""position_0based"": 10, ""candidate_gate_time"": 0.051179252564907074, ""candidate_top1"": false, ""class_probability_delta"": 0.06222134828567505, ""intensity_delta"": -0.10726015269756317, ""text_char_start"": 35, ""text_char_end"": 41, ""text_fragment"": ""should""}, {""modality"": ""text"", ""position_0based"": 21, ""candidate_gate_time"": 0.0537927970290184, ""candidate_top1"": false, ""class_probability_delta"": 0.05613774061203003, ""intensity_delta"": -0.0766724944114685, ""text_char_start"": 82, ""text_char_end"": 89, ""text_fragment"": ""goodbye""}, {""modality"": ""text"", ""position_0based"": 24, ""candidate_gate_time"": 0.04098491370677948, ""candidate_top1"": false, ""class_probability_delta"": 0.05512380599975586, ""intensity_delta"": -0.09201255440711975, ""text_char_start"": 92, ""text_char_end"": 102, ""text_fragment"": ""Absolutely""}, {""modality"": ""audio"", ""position_0based"": 25, ""candidate_gate_time"": 0.010682167485356331, ""candidate_top1"": true, ""class_probability_delta"": -0.048416852951049805, ""intensity_delta"": 0.07610645890235901, ""text_char_start"": 103, ""text_char_end"": 106, ""text_fragment"": ""not""}]","If I blow it at the team exercise, should I kiss my chances of cheering ""GO BLUE"" goodbye?] Absolutely not.",D:\01_Projects\HuaweiCup-2026\01_Source\E\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\04.mp4,aligned_position_only_seconds_unverified
05,05,Positive,0.6122164726257324,0.7563595175743103,audio,"{""text"": {""class_probability_delta"": 0.05378091335296631, ""intensity_delta"": -0.019995450973510742, ""observed_positions"": 15, ""relative_influence"": 0.26985001885643006}, ""audio"": {""class_probability_delta"": 0.12228482961654663, ""intensity_delta"": 0.023142099380493164, ""observed_positions"": 15, ""relative_influence"": 0.6135738781769945}, ""vision"": {""class_probability_delta"": 0.023233532905578613, ""intensity_delta"": 0.029245615005493164, ""observed_positions"": 15, ""relative_influence"": 0.11657610296657551}}","[{""modality"": ""text"", ""position_0based"": 12, ""candidate_gate_time"": 0.03542061895132065, ""candidate_top1"": false, ""class_probability_delta"": 0.016667723655700684, ""intensity_delta"": 0.019237160682678223, ""text_char_start"": 41, ""text_char_end"": 44, ""text_fragment"": ""Red""}, {""modality"": ""text"", ""position_0based"": 14, ""candidate_gate_time"": 0.027832120656967163, ""candidate_top1"": false, ""class_probability_delta"": 0.0158577561378479, ""intensity_delta"": 0.01618826389312744, ""text_char_start"": 51, ""text_char_end"": 60, ""text_fragment"": ""Marketing""}, {""modality"": ""audio"", ""position_0based"": 8, ""candidate_gate_time"": 0.016362950205802917, ""candidate_top1"": false, ""class_probability_delta"": 0.01092153787612915, ""intensity_delta"": 0.007128357887268066, ""text_char_start"": 22, ""text_char_end"": 27, ""text_fragment"": ""video""}, {""modality"": ""text"", ""position_0based"": 2, ""candidate_gate_time"": 0.026050295680761337, ""candidate_top1"": false, ""class_probability_delta"": 0.009529531002044678, ""intensity_delta"": 0.004574298858642578, ""text_char_start"": 2, ""text_char_end"": 3, ""text_fragment"": "",""}, {""modality"": ""vision"", ""position_0based"": 14, ""candidate_gate_time"": 0.022865934297442436, ""candidate_top1"": false, ""class_probability_delta"": -0.00934898853302002, ""intensity_delta"": -0.014036893844604492, ""text_char_start"": 51, ""text_char_end"": 60, ""text_fragment"": ""Marketing""}]","Hi, my name is Chloe, video marketer for Red Wagon Marketing.",D:\01_Projects\HuaweiCup-2026\01_Source\E\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,aligned_position_only_seconds_unverified
06,06,Positive,0.5659404993057251,0.7835594415664673,text,"{""text"": {""class_probability_delta"": 0.4493631422519684, ""intensity_delta"": 0.5444117188453674, ""observed_positions"": 35, ""relative_influence"": 0.669367688063215}, ""audio"": {""class_probability_delta"": 0.11562001705169678, ""intensity_delta"": 0.05113041400909424, ""observed_positions"": 35, ""relative_influence"": 0.1722266386154299}, ""vision"": {""class_probability_delta"": -0.1063416600227356, ""intensity_delta"": -0.2634463310241699, ""observed_positions"": 35, ""relative_influence"": 0.15840567332135513}}","[{""modality"": ""text"", ""position_0based"": 21, ""candidate_gate_time"": 0.04789450764656067, ""candidate_top1"": false, ""class_probability_delta"": 0.03380429744720459, ""intensity_delta"": 0.07197532057762146, ""text_char_start"": 79, ""text_char_end"": 89, ""text_fragment"": ""impressive""}, {""modality"": ""text"", ""position_0based"": 6, ""candidate_gate_time"": 0.032207563519477844, ""candidate_top1"": false, ""class_probability_delta"": 0.03124260902404785, ""intensity_delta"": 0.05363190174102783, ""text_char_start"": 12, ""text_char_end"": 15, ""text_fragment"": ""fan""}, {""modality"": ""text"", ""position_0based"": 22, ""candidate_gate_time"": 0.03221987560391426, ""candidate_top1"": false, ""class_probability_delta"": 0.020646274089813232, ""intensity_delta"": 0.03919196128845215, ""text_char_start"": 90, ""text_char_end"": 95, ""text_fragment"": ""dance""}, {""modality"": ""text"", ""position_0based"": 7, ""candidate_gate_time"": 0.03886043652892113, ""candidate_top1"": false, ""class_probability_delta"": 0.02025371789932251, ""intensity_delta"": 0.03815126419067383, ""text_char_start"": 16, ""text_char_end"": 18, ""text_fragment"": ""of""}, {""modality"": ""text"", ""position_0based"": 14, ""candidate_gate_time"": 0.021468540653586388, ""candidate_top1"": false, ""class_probability_delta"": 0.018112897872924805, ""intensity_delta"": 0.02673518657684326, ""text_char_start"": 47, ""text_char_end"": 51, ""text_fragment"": ""like""}]","If you're a fan of dancing in that sense, just like to watch people dance, see impressive dance moves then you might want to check out this movie solely for that",D:\01_Projects\HuaweiCup-2026\01_Source\E\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\06.mp4,aligned_position_only_seconds_unverified
07,07,Positive,0.6326061487197876,0.7940725088119507,text,"{""text"": {""class_probability_delta"": 0.28116363286972046, ""intensity_delta"": 0.3573412597179413, ""observed_positions"": 48, ""relative_influence"": 0.7323894175188697}, ""audio"": {""class_probability_delta"": 0.08350378274917603, ""intensity_delta"": -0.02009272575378418, ""observed_positions"": 48, ""relative_influence"": 0.21751492603820854}, ""vision"": {""class_probability_delta"": -0.019231677055358887, ""intensity_delta"": -0.06783199310302734, ""observed_positions"": 48, ""relative_influence"": 0.05009565644292178}}","[{""modality"": ""text"", ""position_0based"": 21, ""candidate_gate_time"": 0.0692652240395546, ""candidate_top1"": true, ""class_probability_delta"": 0.056749045848846436, ""intensity_delta"": 0.09444952011108398, ""text_char_start"": 87, ""text_char_end"": 103, ""text_fragment"": ""enthusiastically""}, {""modality"": ""text"", ""position_0based"": 20, ""candidate_gate_time"": 0.023157842457294464, ""candidate_top1"": false, ""class_probability_delta"": 0.016526520252227783, ""intensity_delta"": 0.027594923973083496, ""text_char_start"": 86, ""text_char_end"": 87, ""text_fragment"": ""“""}, {""modality"": ""vision"", ""position_0based"": 21, ""candidate_gate_time"": 0.0021851682104170322, ""candidate_top1"": false, ""class_probability_delta"": 0.008682548999786377, ""intensity_delta"": 0.01488196849822998, ""text_char_start"": 87, ""text_char_end"": 103, ""text_fragment"": ""enthusiastically""}, {""modality"": ""text"", ""position_0based"": 7, ""candidate_gate_time"": 0.008764254860579967, ""candidate_top1"": false, ""class_probability_delta"": 0.007156968116760254, ""intensity_delta"": 0.011389493942260742, ""text_char_start"": 20, ""text_char_end"": 26, ""text_fragment"": ""editor""}, {""modality"": ""text"", ""position_0based"": 15, ""candidate_gate_time"": 0.014911933802068233, ""candidate_top1"": false, ""class_probability_delta"": 0.007002592086791992, ""intensity_delta"": 0.013441801071166992, ""text_char_start"": 57, ""text_char_end"": 65, ""text_fragment"": ""November""}]","As Linn’s associate editor Michael Baadke reports in our November 28 issue, attendees “enthusiastically discussed the topics of growing the hobby, the future of stamp shows, and dealers and philatelic partnerships, along with ways the leading organizations involved in the stamp hobby can work together to make it succeed and grow",D:\01_Projects\HuaweiCup-2026\01_Source\E\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\07.mp4,aligned_position_only_seconds_unverified
08,08,Positive,0.4666997492313385,0.6989048719406128,text,"{""text"": {""class_probability_delta"": 0.4063376486301422, ""intensity_delta"": 0.5245076417922974, ""observed_positions"": 11, ""relative_influence"": 0.6356717662871545}, ""audio"": {""class_probability_delta"": 0.14607453346252441, ""intensity_delta"": -0.003907680511474609, ""observed_positions"": 11, ""relative_influence"": 0.22851797515866934}, ""vision"": {""class_probability_delta"": -0.08681339025497437, ""intensity_delta"": -0.22530004382133484, ""observed_positions"": 11, ""relative_influence"": 0.13581025855417617}}","[{""modality"": ""text"", ""position_0based"": 8, ""candidate_gate_time"": 0.06723210215568542, ""candidate_top1"": false, ""class_probability_delta"": 0.12198370695114136, ""intensity_delta"": 0.15957105159759521, ""text_char_start"": 31, ""text_char_end"": 40, ""text_fragment"": ""Universal""}, {""modality"": ""text"", ""position_0based"": 10, ""candidate_gate_time"": 0.06004798039793968, ""candidate_top1"": false, ""class_probability_delta"": 0.08057713508605957, ""intensity_delta"": 0.09296086430549622, ""text_char_start"": 48, ""text_char_end"": 53, ""text_fragment"": ""Grand""}, {""modality"": ""text"", ""position_0based"": 2, ""candidate_gate_time"": 0.08670419454574585, ""candidate_top1"": true, ""class_probability_delta"": 0.05956530570983887, ""intensity_delta"": 0.0619070827960968, ""text_char_start"": 5, ""text_char_end"": 11, ""text_fragment"": ""brings""}, {""modality"": ""text"", ""position_0based"": 11, ""candidate_gate_time"": 0.061313144862651825, ""candidate_top1"": false, ""class_probability_delta"": 0.033767521381378174, ""intensity_delta"": 0.04273492097854614, ""text_char_start"": 54, ""text_char_end"": 63, ""text_fragment"": ""Challenge""}, {""modality"": ""text"", ""position_0based"": 5, ""candidate_gate_time"": 0.03779839351773262, ""candidate_top1"": false, ""class_probability_delta"": 0.031772077083587646, ""intensity_delta"": 0.02782207727432251, ""text_char_start"": 18, ""text_char_end"": 25, ""text_fragment"": ""tonight""}]","That brings us to tonight, the Universal Design Grand Challenge",D:\01_Projects\HuaweiCup-2026\01_Source\E\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\08.mp4,aligned_position_only_seconds_unverified
09,09,Negative,-2.373547315597534,0.9986020922660828,text,"{""text"": {""class_probability_delta"": 0.8537265062332153, ""intensity_delta"": -2.693328380584717, ""observed_positions"": 18, ""relative_influence"": 0.9990895081244293}, ""audio"": {""class_probability_delta"": -0.0002294778823852539, ""intensity_delta"": 0.10847830772399902, ""observed_positions"": 18, ""relative_influence"": 0.0002685508098481}, ""vision"": {""class_probability_delta"": 0.0005485415458679199, ""intensity_delta"": -0.11204981803894043, ""observed_positions"": 18, ""relative_influence"": 0.0006419410657226141}}","[{""modality"": ""text"", ""position_0based"": 7, ""candidate_gate_time"": 0.22523614764213562, ""candidate_top1"": true, ""class_probability_delta"": 0.002760171890258789, ""intensity_delta"": -0.378013014793396, ""text_char_start"": 12, ""text_char_end"": 15, ""text_fragment"": ""not""}, {""modality"": ""text"", ""position_0based"": 6, ""candidate_gate_time"": 0.10864041745662689, ""candidate_top1"": false, ""class_probability_delta"": 0.001345515251159668, ""intensity_delta"": -0.20975756645202637, ""text_char_start"": 8, ""text_char_end"": 11, ""text_fragment"": ""did""}, {""modality"": ""text"", ""position_0based"": 16, ""candidate_gate_time"": 0.194635272026062, ""candidate_top1"": false, ""class_probability_delta"": 0.00057220458984375, ""intensity_delta"": -0.06736207008361816, ""text_char_start"": 48, ""text_char_end"": 51, ""text_fragment"": ""not""}, {""modality"": ""vision"", ""position_0based"": 7, ""candidate_gate_time"": 0.0035362711641937494, ""candidate_top1"": false, ""class_probability_delta"": 0.0003783702850341797, ""intensity_delta"": -0.0848846435546875, ""text_char_start"": 12, ""text_char_end"": 15, ""text_fragment"": ""not""}, {""modality"": ""text"", ""position_0based"": 8, ""candidate_gate_time"": 0.0839143842458725, ""candidate_top1"": false, ""class_probability_delta"": 0.0003380775451660156, ""intensity_delta"": -0.05630302429199219, ""text_char_start"": 16, ""text_char_end"": 20, ""text_fragment"": ""like""}]","(uhh) I did not like this movie at all, I would not recommend it",D:\01_Projects\HuaweiCup-2026\01_Source\E\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\09.mp4,aligned_position_only_seconds_unverified
10,10,Negative,-1.4440463781356812,0.9891855716705322,text,"{""text"": {""class_probability_delta"": 0.9429817795753479, ""intensity_delta"": -2.126426935195923, ""observed_positions"": 30, ""relative_influence"": 0.9857077872715132}, ""audio"": {""class_probability_delta"": -0.002040565013885498, ""intensity_delta"": 0.13357853889465332, ""observed_positions"": 30, ""relative_influence"": 0.0021330219397521456}, ""vision"": {""class_probability_delta"": 0.011632144451141357, ""intensity_delta"": -0.2269432544708252, ""observed_positions"": 30, ""relative_influence"": 0.012159190788734628}}","[{""modality"": ""text"", ""position_0based"": 29, ""candidate_gate_time"": 0.5704450011253357, ""candidate_top1"": true, ""class_probability_delta"": 0.10325115919113159, ""intensity_delta"": -0.6333538293838501, ""text_char_start"": 114, ""text_char_end"": 120, ""text_fragment"": ""pretty""}, {""modality"": ""text"", ""position_0based"": 30, ""candidate_gate_time"": 0.11311499029397964, ""candidate_top1"": false, ""class_probability_delta"": 0.021078526973724365, ""intensity_delta"": -0.32833337783813477, ""text_char_start"": 121, ""text_char_end"": 129, ""text_fragment"": ""terrible""}, {""modality"": ""text"", ""position_0based"": 28, ""candidate_gate_time"": 0.026984378695487976, ""candidate_top1"": false, ""class_probability_delta"": 0.017963945865631104, ""intensity_delta"": -0.28694891929626465, ""text_char_start"": 110, ""text_char_end"": 113, ""text_fragment"": ""was""}, {""modality"": ""vision"", ""position_0based"": 29, ""candidate_gate_time"": 0.004458233714103699, ""candidate_top1"": false, ""class_probability_delta"": 0.008674919605255127, ""intensity_delta"": -0.17888212203979492, ""text_char_start"": 114, ""text_char_end"": 120, ""text_fragment"": ""pretty""}, {""modality"": ""vision"", ""position_0based"": 30, ""candidate_gate_time"": 0.00774815259501338, ""candidate_top1"": true, ""class_probability_delta"": 0.0024707913398742676, ""intensity_delta"": -0.047718048095703125, ""text_char_start"": 121, ""text_char_end"": 129, ""text_fragment"": ""terrible""}]",(umm) And you know I really do like to see fluffy chick flicks sometimes so I'm not against that but this one was pretty terrible,D:\01_Projects\HuaweiCup-2026\01_Source\E\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4,aligned_position_only_seconds_unverified
