source_excel_row,video_id,clip_id,video_relpath,text,label,annotation,qc_status,qc_note
2,-3g5yACwYnA,13,-3g5yACwYnA/13.mp4,They've been able to find solutions or at least bring some answers to the table.,0.6666666865348816,Positive,transcript_review_needed,Listener heard 'matters' instead of source 'answers'; unverified.
3,-3g5yACwYnA,3,-3g5yACwYnA/3.mp4,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",0.0,Neutral,not_reviewed,
4,-3g5yACwYnA,2,-3g5yACwYnA/2.mp4,Key Polymer brings a technical aspect to our operation that we don't have internally.,0.0,Neutral,not_reviewed,
5,-3g5yACwYnA,9,-3g5yACwYnA/9.mp4,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",0.6666666865348816,Positive,not_reviewed,
6,-3nNcZdcdvU,5,-3nNcZdcdvU/5.mp4,Noncompliance can result in legal liability to you and to the school district in which you are employed.,0.0,Neutral,not_reviewed,
7,-HwX2H8Z4hY,2,-HwX2H8Z4hY/2.mp4,"” [President Ronald Reagan:] ""Look at the record",0.0,Neutral,not_reviewed,
8,-HwX2H8Z4hY,5,-HwX2H8Z4hY/5.mp4,""" President Ronald Reagan blamed the professional bureaucracy of education",-1.0,Negative,not_reviewed,
9,-HwX2H8Z4hY,6,-HwX2H8Z4hY/6.mp4,"And in part, Al Shanker did too",0.0,Neutral,not_reviewed,
10,-HwX2H8Z4hY,9,-HwX2H8Z4hY/9.mp4,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,-0.3333333432674408,Negative,not_reviewed,
11,-NFrJFQijFE,1,-NFrJFQijFE/1.mp4,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,0.3333333432674408,Positive,not_reviewed,
12,-NFrJFQijFE,2,-NFrJFQijFE/2.mp4,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,0.0,Neutral,not_reviewed,
13,-THoVjtIkeU,12,-THoVjtIkeU/12.mp4,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",2.0,Positive,not_reviewed,
14,-THoVjtIkeU,2,-THoVjtIkeU/2.mp4,I think social justice is extremely important for young people.,1.3333333730697632,Positive,not_reviewed,
15,-THoVjtIkeU,6,-THoVjtIkeU/6.mp4,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",2.6666667461395264,Positive,not_reviewed,
16,-UuX1xuaiiE,1,-UuX1xuaiiE/1.mp4,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,1.6666666269302368,Positive,not_reviewed,
17,-UuX1xuaiiE,0,-UuX1xuaiiE/0.mp4,^it's amazing to see their enthusiasm and their passion,2.6666667461395264,Positive,not_reviewed,
18,-UuX1xuaiiE,3,-UuX1xuaiiE/3.mp4,My goal is to become a human rights lawyer,0.3333333432674408,Positive,not_reviewed,
19,-UuX1xuaiiE,6,-UuX1xuaiiE/6.mp4,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",-0.3333333432674408,Negative,not_reviewed,
20,-a55Q6RWvTA,3,-a55Q6RWvTA/3.mp4,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",0.6666666865348816,Positive,not_reviewed,
21,-aNfi7CP8vM,7,-aNfi7CP8vM/7.mp4,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",0.0,Neutral,not_reviewed,
22,-aqamKhZ1Ec,0,-aqamKhZ1Ec/0.mp4,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",-2.0,Negative,not_reviewed,
