sample	video_id	clip_id	review_priority	review_reason	suggested_action	human_review_status	source_words	timed_words	vision_valid_words	all_modalities_valid_words	source_qc_status	alignment_review_flags	merge_review_flags	video_relpath	merged_relpath
sample_0001	-3g5yACwYnA	13	P1	asr_disagreement;transcript_review_needed	Listen against the original video and compare with the source transcript; preserve the source wording until confirmed.	pending	15	15	15	15	transcript_review_needed	asr_disagreement;transcript_review_needed		-3g5yACwYnA/13.mp4	mosei-multimodal-aligned-v1.0/sample_0001.npz
sample_0006	-HwX2H8Z4hY	2	P1	speaker_annotation_review;vision_missing_words;vision_partial_coverage	Listen and verify whether bracketed speaker text is metadata or spoken content.	pending	8	4	3	3	not_reviewed	speaker_annotation_review	vision_missing_words;vision_partial_coverage	-HwX2H8Z4hY/2.mp4	mosei-multimodal-aligned-v1.0/sample_0006.npz
sample_0010	-NFrJFQijFE	1	P1	asr_disagreement;low_ctc_probability;no_valid_visual_frames;vision_missing_words	Check the video and face track; keep the visual mask false unless valid frames can be established.	pending	16	16	0	0	not_reviewed	asr_disagreement;low_ctc_probability	vision_missing_words;no_valid_visual_frames	-NFrJFQijFE/1.mp4	mosei-multimodal-aligned-v1.0/sample_0010.npz
sample_0011	-NFrJFQijFE	2	P1	asr_disagreement;low_ctc_probability;no_valid_visual_frames;vision_missing_words	Check the video and face track; keep the visual mask false unless valid frames can be established.	pending	18	18	0	0	not_reviewed	asr_disagreement;low_ctc_probability	vision_missing_words;no_valid_visual_frames	-NFrJFQijFE/2.mp4	mosei-multimodal-aligned-v1.0/sample_0011.npz
sample_0042	-mJ2ud6oKI8	1	P1	asr_disagreement;long_word_span;low_ctc_probability;no_valid_visual_frames;vision_missing_words	Check the video and face track; keep the visual mask false unless valid frames can be established.	pending	13	13	0	0	not_reviewed	asr_disagreement;long_word_span;low_ctc_probability	vision_missing_words;no_valid_visual_frames	-mJ2ud6oKI8/1.mp4	mosei-multimodal-aligned-v1.0/sample_0042.npz
sample_0088	-ri04Z7vwnc	0	P1	asr_disagreement;low_ctc_probability;no_valid_visual_frames;vision_missing_words	Check the video and face track; keep the visual mask false unless valid frames can be established.	pending	8	8	0	0	not_reviewed	asr_disagreement;low_ctc_probability	vision_missing_words;no_valid_visual_frames	-ri04Z7vwnc/0.mp4	mosei-multimodal-aligned-v1.0/sample_0088.npz
sample_0002	-3g5yACwYnA	3	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	29	29	29	29	not_reviewed	asr_disagreement;low_ctc_probability		-3g5yACwYnA/3.mp4	mosei-multimodal-aligned-v1.0/sample_0002.npz
sample_0003	-3g5yACwYnA	2	P2	asr_disagreement	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	14	14	14	14	not_reviewed	asr_disagreement		-3g5yACwYnA/2.mp4	mosei-multimodal-aligned-v1.0/sample_0003.npz
sample_0004	-3g5yACwYnA	9	P2	asr_disagreement	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	21	21	21	21	not_reviewed	asr_disagreement		-3g5yACwYnA/9.mp4	mosei-multimodal-aligned-v1.0/sample_0004.npz
sample_0007	-HwX2H8Z4hY	5	P2	vision_missing_words;vision_partial_coverage	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	10	9	3	3	not_reviewed		vision_missing_words;vision_partial_coverage	-HwX2H8Z4hY/5.mp4	mosei-multimodal-aligned-v1.0/sample_0007.npz
