file_id,video_sha256,video_duration_s,audio_duration_s,video_frames,transcript_words,timed_words,asr_wer,mean_ctc_probability,ctc_step_s,alignment_status,error,greedy_asr,stream_start_times_json
01,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,9.0,8.982,270,21,21,0.19047619047619047,0.9265691093453599,0.02,automatic_candidate,,REPLACING THESE WARE COMPONENTS WHEN REPLACING THE TYMY BELT IS ESSENTIAL TO INSURING THE NEW BELT PERFORMS TO ITS MILAGE REQUIREMENTS,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
02,6b651e908aefd86959f85b78f945f7d5a5d9e767eb4c095926e1df2ed9629ff9,3.492969,3.328375,101,14,13,0.0,0.9893934620205445,0.02,automatic_candidate,,WE WANT TO LIVE BY EACH OTHER'S HAPPINESS NOT BY EACH OTHER'S MISERY,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
03,556b83449ac17fd8cb99ed1dcd6f11c287dd6e0198885e88555579f9bcab84f3,9.663997,9.583,289,25,25,0.36,0.9405055902448912,0.02,review,,OUNT THERE'S ONE LENDAR AT THE MOMENT WHICH I THINK ITS JUST BANK WEST WHO DON'T TAKE RENTEL INCOME INTO ACCOUNT THEY TAKE RENTEL YIELD INTO ACCOUNT SO THAT,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
04,766db8dc32508b8f7f8faaa47656e0eedc8d1707b809fe8235db1e74e15d3369,6.99401,6.847,207,20,20,0.2,0.9450754638903197,0.02,automatic_candidate,,IF I GLOW IT AT THE TEAM EXERCISE SHOULD I KISS MY CHANCES OF CHEERING GO BLUE GOOD BYE ABSOLUTELY NOT THERE,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
05,715d7c1dd52a78eac6c0a10cd78ba1c4f632dc778839c86fcf7a510ea4184420,6.1,6.014,183,11,11,0.45454545454545453,0.8629821416749227,0.02,review,,HI MY NAME WAS CHLOEY VIDIO MARKETER FOR RED WEG IN MARKETING,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
06,22e0a0e7c0880d3e92e4eb5e98070e5128884dd21eebc8367852570feb1b1d7f,8.305013,8.158,247,31,31,0.25806451612903225,0.7455415040173016,0.02,automatic_candidate,,IF YOU'RE FAN OF DANCING IN THAT SENSE JUST LIKE THO WATCH PEOPLE DANCE SEE IMPRESSIVE DANCE MOVES THAT YOU MIGHT WANT COHAVE Y SOLELY FOR THAT,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
07,f3b47ceaddf31d472c367259788cb68e93511b14ae117577836f196e22ecedc5,21.348,21.2655625,639,51,51,0.28846153846153844,0.9092898901928221,0.02,automatic_candidate,,AS LANDES ASSOCIATED INOR MICHAEBAKI REPORTS IN OUR NOVEMBER TWENTY EIGHTH ISSUE ATTEND DAYS ENTHUSIASTICALLY DISCUSS THE TOPICS OF GROWING THE HOBBY THE FUTURE OF STAMSHOWS AND DEALERS AND PHILOTILIC PARKNERSHIPS ALONG WITH WAYS THE LEADING ORGANIZATIONS INVOLVED IN THE STANHOBBY CAN WORK TOGETHER TO MAKE IT SUCCEED AND GROW,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
08,962057312eb9b751ff907ba5799f455dedfc271cabb5d45abd40803e08f88d79,5.086003,4.908,149,10,10,0.3,0.9666273206278875,0.02,automatic_candidate,,SO THAT BRINGS US TO TO NIGHT THE UNIVERSAL DESIGN GRAND CHALLENGE,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
09,7ecb03c24c8fc45b66bff4eb56bdf2adba033e96db52dd2d858abd93fae9d749,5.041992,4.964,151,14,14,0.2857142857142857,0.8570920402290214,0.02,automatic_candidate,,AH I DID NOT LIKE THIS MOVIE AT ALL I WOULD NOT RECOMMEND IT I ONLY WATCH,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
10,21047991667edfdde0cb848dfd80aa41ccb871bc02742bd24f28d512a70f53db,9.939974,9.775,295,25,25,0.32,0.8390649459266237,0.02,automatic_candidate,,OH AND YOU KNOW I REALLY DO LIKE TO SEE BLUFFY CHICKFLICKS SOMETIMES THOU NOT AGAINST THAT BUT THIS ONE WAS PRETTY TERRIBLE AND I,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
