sample_id	source_words	source_npz_sha256	human_review_status	manual_evidence_present	manual_review_date	manual_human_observation	manual_timing_status	manual_audio_status	manual_vision_status	manual_note	original_needs_review	source_exact_word_boundaries_manually_verified	automatic_timing_words	automatic_text_words	automatic_audio_words	automatic_vision_words	automatic_all_modalities_words	human_timing_unsupported_words	human_timing_unknown_words	human_timing_supported_words	review_filtered_timing_candidate_words	review_filtered_audio_word_candidate_words	review_filtered_vision_word_candidate_words	review_filtered_multimodal_candidate_words	strict_human_confirmed_timing_words	original_features_retained
sample_0001	15	a23acf62489b6e6c974373c679bf8760ead3788ffad541c0df51ba473aff67bc	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	15	15	15	15	15	0	15	0	15	15	15	15	0	true
sample_0002	29	2dc002891b669afd29aeed7908b73a2b1e94ffb381fba74d48c581fa57e0847f	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	29	29	29	29	29	0	29	0	29	29	29	29	0	true
sample_0003	14	3ceafa6b74015a64ccc9bc324f812487550833739c71eba3bd8686eea2f1f463	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	14	14	14	14	14	0	14	0	14	14	14	14	0	true
sample_0004	21	78de22598cca9ed9781e582014bb046f57e053a7a77698d5e232a310403e79c2	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	21	21	21	21	21	0	21	0	21	21	21	21	0	true
sample_0005	18	7a79cc5ce31a1f9778b42178c7db57ec32c3e6f411965bd4fd2dc77395e5affc	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	18	18	18	18	18	0	18	0	18	18	18	18	0	true
sample_0006	8	74e7b086823bcf0475ef04ed6b7a6747d27161eca48beb152c02d2fce748cc43	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	4	8	4	3	3	0	8	0	4	4	3	3	0	true
sample_0007	10	e8254456bc42d1df16acffa63ab29fd44f2cd29a12fc6cf5bc13d2fa08a54f6c	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	9	10	9	3	3	0	10	0	9	9	3	3	0	true
sample_0008	7	ecac66713bb874f6b94dd5c5200612f4255928db70db63c58d018403a8bcdbab	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	7	7	7	5	5	0	7	0	7	7	5	5	0	true
sample_0009	22	919d51d1cc49f213f72553c312749cefb38617f81bebb8939f0601c5c53f7f3b	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	22	22	22	22	22	0	22	0	22	22	22	22	0	true
sample_0010	16	f295cea678f2df4daaf5edef4af6a577419ddce92ded2ce19cbf27c65e42d371	unsupported_for_speech	true	2026-09-25	no_person_speaking	unsupported_for_speech	no_spoken_content_observed	no_speaker_face_confirmed	人工播放观察：未听到有人说话；不把CTC时间当作语音边界。	true	false	16	16	16	0	0	16	0	0	0	0	0	0	0	true
sample_0011	18	1a21706c9d76e6917781fd2d7fcc101c9b77c0ad506b8a58a0a6e73f0f007327	unsupported_for_speech	true	2026-09-25	no_person_speaking	unsupported_for_speech	no_spoken_content_observed	no_speaker_face_confirmed	人工播放观察：未听到有人说话；不把CTC时间当作语音边界。	true	false	18	18	18	0	0	18	0	0	0	0	0	0	0	true
sample_0012	39	8b73522e0b141f1b7c12f5fb9a4bbe1556df7abc407c4d0b30b597082dcde75c	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	39	39	39	39	39	0	39	0	39	39	39	39	0	true
sample_0013	10	75b25fb8b93904e8c17642d8b611c513444b3455fbada2db11f362148fa31826	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	10	10	10	10	10	0	10	0	10	10	10	10	0	true
sample_0014	30	f6ea65019494fdeb3891c2c0e34555b2c45c934b2bac391894159126eb839489	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	30	30	30	30	30	0	30	0	30	30	30	30	0	true
sample_0015	27	3ba587d2a85e4a42c8333f478c5772764ccc7a9e4c4bb2ae2315c74689cf232b	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	27	27	27	27	27	0	27	0	27	27	27	27	0	true
sample_0016	9	96626b622a068a29538b90d6667ea77ac6462a6633a4b232f9d8bb3088b5b25f	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	9	9	9	9	9	0	9	0	9	9	9	9	0	true
sample_0017	9	32d31c40aa50f45836db00e2377b673d4e73ca66d6b97f0f6098e5aeaa2115aa	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	9	9	9	9	9	0	9	0	9	9	9	9	0	true
