sample,source_words,bert_tokens,hidden_size,finite_values,alignment_join,alignment_status,alignment_review_flags,output_sha256,transcript_sha256,alignment_sha256,run_signature,status,error
sample_0001,15,20,768,true,exact,needs_review,asr_disagreement;transcript_review_needed,2f36481bfbfe57c74f1cca554af6f0e19b878e10bf5060098598f2b30ca74532,16bee1b5ecbd8d2632c5d48e5629380ddae687005479cd6e775fcffb79b58dd8,f911501e6f43aa3a02be1169f459a3fa3a66b064f2c6e3df8027d0a31c8191ca,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0002,29,42,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,a381e1c7d1fb5401714fbb723f6f4c720226853d5e9c12ba7249ccf6808fb0fc,e34429bb59081603d60a09b558b648c0a68e8f0cd59532d1b1f62cb45ee5d0b7,27e2fa64c655a37514c072b4d1e21823d9f60627ad8dd6ccbc3201b88e26c95e,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0003,14,19,768,true,exact,needs_review,asr_disagreement,6cf2e244c294d7e4b77c81735556f52428b7e4389a448e0c47cd8470b8371a51,3d29e4bd12105ed426b7ec516a3eafc8f4d8363f8c284ea20b5944e014777e04,66795b506780ccab7825f5cfb1bf08e70b8d702b87776b0b8f0c42bbef85de8c,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0004,21,30,768,true,exact,needs_review,asr_disagreement,d5054998a594e22530de451584d612d38f114c67001c90e1447c855b6a95dad0,edf40f3bc90720a15b5edde898ad73ac8914812e2e3d6da541110446b6376f81,4eeaf2d4df2bccd1b529ca068609c9b656fb12d27e89463ebc42283ffb13aa73,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0005,18,24,768,true,exact,auto_checked,,4388215ae2a7ba1be5272afc4be92ba96e61b340636b176725d9191f2a9d00e0,79c1af6a9ee4395006d8253e8a2c10d2fa1dff409dcb41389b13cd8388f6d6f5,97571a7da969b54d2a53e6c81e0c8d88ab94abd23410dfb04e819708388d3128,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0006,8,14,768,true,exact,needs_review,speaker_annotation_review,37dfc66b6045999aa8b9c108215aaf5524fea01e1e6e43f76766213aca585012,aa56e2f7a4375e13c2521a154e4e8fe0f57919648d0ea30ce484d2ec50919afe,eecd7ba36620bbc86d24a5f9fcbee7333ac283eb4f59f587d6aef097680104ed,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0007,10,12,768,true,exact,auto_checked,,2a0b5307368aa6dc14f229784aa8d70fd6a2c130d894d1cf76646fe048425863,83091121026f171a499d0396e42fa053b001e4a7958afad789966ad5dae8b5f4,8737e728cc36857735954b3842ae2decc9dde040c3a6dd844f2133fb433689ba,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0008,7,11,768,true,exact,auto_checked,,36005e3df1e38db169272b97e0aeddba8b8c49bb9828d66f823c4c9ca742aa0b,618c798532ff33e67232ba004904c108503dd42149fdb373f27d3b768ae275b3,ac501c814572f335de992bb8d56b8842d540a598f5237072cef49ef091a5ccae,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0009,22,26,768,true,exact,needs_review,asr_disagreement;long_word_span;low_ctc_probability,1715630aafe17598fc390d2002b2adbd46e7d7bac0217b978e8c69b92d16473f,3b10844995a12418048ea027d2511506787eb76a854b8fc0a40394c812dc47a6,92825fb7c22e0748b126f05f398a9ac71521a1ea1a953920f75b2497511247e2,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0010,16,18,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,8bef20c7f34cda017ce3f706bba46611b1e126bba870bcb8b1e97b121f96ce1a,75e12c6de3cb640beb5aac76a35cf09208da4865e50a409f075998199f2b904b,c80bc0aa71736303d2ed28512c9f1ae5ffe57e2dff1fc26c0b4694bea27cec21,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
